"CustomerID","FirstName","LastName","Email","Phone","Address","City","State","Zipcode"
100,"Carol","Shaw","cshaw0@mlb.com","(206)804-8771","8157 Longview Court","Seattle","WA","98121"
101,"Elizabeth","Carr","ecarr1@oracle.com","(512)187-2507","3934 Petterle Trail","Austin","TX","78732"
102,"Ernest","Ramos","eramos2@plala.or.jp","(816)540-4257","8699 Clarendon Terrace","Kansas City","MO","64199"
103,"Jane","Carter","jcarter3@harvard.edu","(214)839-0542","2830 Novick Lane","Irving","TX","75037"
104,"Martha","Cooper","mcooper4@go.com","(727)235-5696","4537 Hoard Lane","Tampa","FL","33625"
105,"Patricia","Fox","pfox5@hubpages.com","(240)937-3491","40748 Stoughton Parkway","Frederick","MD","21705"
106,"Jack","Peters","jpeters6@java.com","(832)171-7210","1 Gerald Hill","Spring","TX","77386"
107,"Brian","Mcdonald","bmcdonald7@ft.com","(405)255-8820","15 High Crossing Street","Oklahoma City","OK","73167"
108,"Nicholas","Clark","nclark8@miibeian.gov.cn","(203)941-4125","87 Michigan Way","Danbury","CT","6816"
109,"Cheryl","Robinson","crobinson9@tuttocitta.it","(205)646-1280","58149 Gale Lane","Birmingham","AL","35244"
110,"Doris","Ramirez","dramireza@cbslocal.com","(574)199-9006","657 Muir Crossing","South Bend","IN","46614"
111,"Sandra","Ortiz","sortizb@cloudflare.com","(757)407-9411","2 Moose Terrace","Richmond","VA","23225"
112,"Timothy","Garrett","tgarrettc@cisco.com","(513)298-2899","887 Gina Trail","Cincinnati","OH","45223"
113,"Chris","Williamson","cwilliamsond@fotki.com","(505)896-8356","4 Burning Wood Way","Albuquerque","NM","87180"
114,"Norma","Scott","nscotte@dell.com","(612)432-2596","09878 Redwing Court","Minneapolis","MN","55470"
115,"Brandon","Webb","bwebbf@fastcompany.com","(915)364-3590","98255 Colorado Parkway","El Paso","TX","79968"
116,"Stephen","Mason","","(415)861-1390","7 Manley Trail","San Francisco","CA","94159"
117,"Gloria","Armstrong","garmstrongh@unicef.org","(863)646-4449","972 Waywood Alley","Lakeland","FL","33811"
118,"Beverly","Meyer","bmeyeri@cyberchimps.com","(208)900-5215","59460 Rutledge Crossing","Boise","ID","83757"
119,"Janice","Mitchell","jmitchellj@lycos.com","(360)759-7569","640 Calypso Drive","Olympia","WA","98516"
120,"Ronald","Murphy","rmurphyk@yandex.ru","(303)447-5945","452 Parkside Lane","Denver","CO","80235"
121,"Ruby","Lawson","rlawsonl@ted.com","(361)927-9275","26332 Granby Junction","Corpus Christi","TX","78465"
